"id","hotel_id","url_id","language","ask","created_at"
"1","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","¿Hay piscina en Niyama Private Islands Maldives?","2026-03-20 22:31:59.223636+00"
"2","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","¿Qué tipo de habitación puedo reservar en Niyama Private Islands Maldives?","2026-03-20 22:31:59.22364+00"
"3","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","¿Cuál es el horario de entrada y salida de Niyama Private Islands Maldives?","2026-03-20 22:31:59.223641+00"
"4","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","¿Cuánto cuesta alojarse en Niyama Private Islands Maldives?","2026-03-20 22:31:59.223641+00"
"5","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","¿Hay restaurante dentro de Niyama Private Islands Maldives?","2026-03-20 22:31:59.223642+00"
"6","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","¿Qué se puede hacer en Niyama Private Islands Maldives?","2026-03-20 22:31:59.223642+00"
"7","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","¿A qué distancia está Niyama Private Islands Maldives del centro de Dhaalu Atoll?","2026-03-20 22:31:59.223643+00"
"8","f47d1e2e-4716-498a-87e8-04c7a99d7d50","4356f819-e6aa-42f8-b349-bd9ceb370bee","es","¿Niyama Private Islands Maldives gusta a las familias?","2026-03-20 22:31:59.223643+00"
"9","7b535877-4655-41e0-9aca-1e24eb5a584d","493d91e2-866e-4566-abed-318b8ce16a41","es","¿Qué tipo de habitación puedo reservar en Centara Grand Lagoon Maldives - Free Round Trip Speedboat when stay 4 nights or more between 17 April - 15 October 2026?","2026-03-20 22:33:18.45058+00"
"10","7b535877-4655-41e0-9aca-1e24eb5a584d","493d91e2-866e-4566-abed-318b8ce16a41","es","¿Cuál es el horario de entrada y salida de Centara Grand Lagoon Maldives - Free Round Trip Speedboat when stay 4 nights or more between 17 April - 15 October 2026?","2026-03-20 22:33:18.450583+00"
"11","7b535877-4655-41e0-9aca-1e24eb5a584d","493d91e2-866e-4566-abed-318b8ce16a41","es","¿Cuánto cuesta alojarse en Centara Grand Lagoon Maldives - Free Round Trip Speedboat when stay 4 nights or more between 17 April - 15 October 2026?","2026-03-20 22:33:18.450584+00"
"12","7b535877-4655-41e0-9aca-1e24eb5a584d","493d91e2-866e-4566-abed-318b8ce16a41","es","¿A qué distancia está Centara Grand Lagoon Maldives - Free Round Trip Speedboat when stay 4 nights or more between 17 April - 15 October 2026 del centro de Nakatukufuri?","2026-03-20 22:33:18.450584+00"
"13","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","Does Niyama Private Islands Maldives have a pool?","2026-03-20 22:36:09.351376+00"
"14","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","What type of room can I book at Niyama Private Islands Maldives?","2026-03-20 22:36:09.351378+00"
"15","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","What are the check-in and check-out times at Niyama Private Islands Maldives?","2026-03-20 22:36:09.351379+00"
"16","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","How much does it cost to stay at Niyama Private Islands Maldives?","2026-03-20 22:36:09.35138+00"
"17","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","Does Niyama Private Islands Maldives have a restaurant on site?","2026-03-20 22:36:09.35138+00"
"18","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","What is there to do at Niyama Private Islands Maldives?","2026-03-20 22:36:09.351381+00"
"19","a9b7575b-67e8-4080-aeda-4d21ec71a09f","4356f819-e6aa-42f8-b349-bd9ceb370bee","en","How far is Niyama Private Islands Maldives from the centre of Dhaalu Atoll?","2026-03-20 22:36:09.351381+00"
