"id","hotel_id","url_id","language","description","created_at","updated_at"
"2d3ad68d-e050-4e11-8e19-badcd6ab2c3a","9db207e4-a099-4086-9f98-d98b8ef3afae","0fd1cd75-3130-47da-9b62-7961865da945","es","Gardens Hill Resort & Spa está en Beau Vallon, a 5 min a pie de Playa de Beau Vallon, y dispone de alojamiento con piscina al aire libre, parking privado gratis, centro de fitness y terraza. El alojamiento tiene restaurante, además de bar. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de conserjería y wifi gratis en todo el alojamiento.

El resort ofrece habitaciones con aire acondicionado, escritorio, cafetera, nevera, minibar, caja fuerte, TV de pantalla plana y baño privado con bidet. Cada habitación cuenta con hervidor, algunas ofrecen balcón y otras también incluyen vistas al mar. En Gardens Hill Resort & Spa, las habitaciones tienen ropa de cama y toallas.

El desayuno está disponible e incluye opciones buffet, continentales o vegetarianas.

Victoria Clock Tower está a 5 km del alojamiento, y Seychelles National Botanical Gardens está a 6,6 km. El aeropuerto (Aeropuerto internacional de Seychelles) está a 14 km.","2026-03-13 01:52:57.034719+00","2026-03-13 01:52:57.034722+00"
"71f473fc-eb78-42bf-8aa7-61ba029acac7","042be237-6f07-4f7d-80c2-a9bdfa4dc18a","0fd1cd75-3130-47da-9b62-7961865da945","en","Comfortable Accommodations:Gardens Hill Resort & Spa in Beau Vallon offers family rooms with sea, garden, or mountain views. Each room includes air-conditioning, a private bathroom, and modern amenities.Exceptional Facilities:Guests enjoy spa facilities, a fitness centre, terrace, restaurant, bar, and a year-round outdoor swimming pool. Free WiFi is available throughout the resort.Dining Experience:The restaurant serves continental, buffet, vegetarian, and vegan breakfasts. Lunch and dinner menus cater to special diets.Prime Location:Beau Vallon Beach is a 5-minute walk away. Seychelles International Airport is 14 km from the resort. Nearby attractions include Victoria Clock Tower (5 km) and Seychelles National Botanical Gardens (7 km). Hiking trails surround the area.","2026-03-13 01:57:37.801625+00","2026-03-13 01:57:37.801629+00"
"a1ad47e9-7137-453b-a655-0c6883b2a582","56c2395b-d918-491b-8fca-fb51b7cb61dc","0fd1cd75-3130-47da-9b62-7961865da945","de","Komfortable Unterkünfte:Die Unterkunft Gardens Hill Resort & Spa in Beau Vallon bietet Familienzimmer mit Blick auf das Meer, den Garten oder die Berge. Jedes Zimmer ist mit Klimaanlage, einem Balkon und einem eigenen Badezimmer mit kostenlosen Pflegeprodukten ausgestattet.Außergewöhnliche Einrichtungen:Sie können die Wellnesseinrichtungen, das Fitnesscenter, die Terrasse, das Restaurant, die Bar und den ganzjährig geöffneten Außenpool nutzen. Kostenloses WLAN steht Ihnen im gesamten Resort zur Verfügung.Kulinarisches Erlebnis:Im Restaurant werden kontinentale, Buffet-, vegetarische und vegane Frühstücke serviert. Zum Mittag- und Abendessen stehen verschiedene Menüs zur Verfügung, die auf alle diätetischen Bedürfnisse abgestimmt sind.Erstklassige Lage:Die Unterkunft liegt 14 km vom Internationalen Flughafen Seychellen entfernt und ist nur 5 Gehminuten vom Beau Vallon Strand entfernt. Zu den nahegelegenen Sehenswürdigkeiten gehören der Victoria Clock Tower (5 km) und die Seychellen National Botanical Gardens (7 km). Wanderwege sind in der Umgebung verfügbar.","2026-03-13 02:05:30.72935+00","2026-03-13 02:05:30.729354+00"
"6703c590-3049-4ead-9196-83f7ea2b7a5c","aca39e38-1c0d-4c56-88c2-5a5d43f1e398","0fd1cd75-3130-47da-9b62-7961865da945","fr","L’établissement Gardens Hill Resort & Spa vous accueille à Beau Vallon, à 500 mètres de ce lieu d’intérêt : Plage de Beau Vallon. Il comprend une piscine extérieure, une salle de sport, une terrasse et un parking privé gratuit. Il possède un restaurant et un bar, à respectivement 5 km et 6,6 km de : Victoria Clock Tower et Seychelles National Botanical Gardens. L’établissement propose une réception ouverte 24h/24, des transferts aéroport, un service de concierge et une connexion Wi-Fi gratuite dans l’ensemble de ses locaux.

Les hébergements sont dotés de la climatisation, d’un bureau, d’une machine à café, d’un réfrigérateur, d’un minibar, d’un coffre-fort, d’une télévision à écran plat et d’une salle de bains privative avec un bidet. Vous bénéficierez d'une bouilloire. Certains hébergements possèdent également un balcon et d'autres offrent une vue sur la mer. Des serviettes et du linge de lit sont fournis.

Un petit-déjeuner buffet, continental ou végétarien est servi sur place.

Vous séjournerez à respectivement 4,9 km et 11 km de ces lieux d’intérêt : Seychelles National Museum et Morne Seychellois. L'aéroport le plus proche (Aéroport international des Seychelles) est à 14 km.","2026-03-13 02:13:34.869913+00","2026-03-13 02:13:34.869916+00"
"0b5ffe69-d80f-4c70-bc2d-223187c5bd30","a63e66fd-f98a-42b7-9edb-bd87035d5dfa","0fd1cd75-3130-47da-9b62-7961865da945","it","Ubicato a Beau Vallon, a 500 metri da Beau Vallon Beach, Gardens Hill Resort & Spa propone una piscina all'aperto, un parcheggio privato gratuito, un centro fitness e una terrazza. A 5 km da Victoria Clock Tower e 6,6 km da Seychelles National Botanical Gardens, la struttura mette a disposizione un ristorante e un bar. L'alloggio prevede una reception 24 ore su 24, transfer aeroportuali, un servizio concierge e il WiFi gratuito in tutta la struttura.

Questo resort offre agli ospiti camere climatizzate con una scrivania, una macchina da caffè, un frigorifero, un minibar e una cassaforte. Non manca poi la TV a schermo piatto e un bagno privato con bidet. Le camere comprendono un bollitore elettrico, mentre alcune camere hanno un balcone e altre vantano anche la vista sul mare. Presso Gardens Hill Resort & Spa, ogni camera dispone di lenzuola e asciugamani.

A colazione troverete opzioni a buffet, continentali o vegetariane.

Seychelles National Museum è a 4,9 km da questa struttura, mentre Morne Seychellois si trova a 11 km dalla struttura. Aeroporto Internazionale delle Seychelles si trova a 14 km di distanza.","2026-03-13 02:22:02.17785+00","2026-03-13 02:22:02.177854+00"
"e74da9dd-0108-4f4d-9d27-a6f28d7cbce3","e2a99be9-fdd4-4c9d-a920-9db731282810","0fd1cd75-3130-47da-9b62-7961865da945","nl","Comfortabele accommodatie:Gardens Hill Resort & Spa in Beau Vallon biedt familiekamers met uitzicht op zee, tuin of bergen. Elke kamer is voorzien van airconditioning, een balkon en een eigen badkamer met gratis toiletartikelen.Uitzonderlijke faciliteiten:Gasten kunnen gebruikmaken van spa-faciliteiten, een fitnesscentrum, terras, restaurant, bar en een buitenzwembad dat het hele jaar door geopend is. Gratis WiFi is beschikbaar in het hele resort.Culinaire ervaring:Het restaurant serveert continentaal, buffet, vegetarisch en veganistisch ontbijt. Lunch en diner zijn beschikbaar met een verscheidenheid aan menu's die aan alle dieetwensen voldoen.Uitstekende locatie:Het resort ligt op 14 km van de internationale luchthaven van Seychellen en op 5 minuten lopen van het strand van Beau Vallon. Nabijgelegen attracties zijn onder andere de Victoria Clock Tower (5 km) en de Nationale Botanische Tuinen van Seychellen (7 km). In de omgeving zijn wandelroutes beschikbaar.","2026-03-13 02:29:40.244723+00","2026-03-13 02:29:40.244725+00"
"4f32d163-9589-4b0d-ad3a-ac46c7c58a15","93be4033-8cd7-4c88-b720-2a67d92fba69","0fd1cd75-3130-47da-9b62-7961865da945","pt","Alojamento Confortável:O Gardens Hill Resort & Spa em Beau Vallon oferece quartos familiares com vista para o mar, jardim ou montanha. Cada quarto inclui ar condicionado, varanda e casa de banho privativa com produtos de higiene gratuitos.Comodidades Excecionais:Os hóspedes podem desfrutar de instalações de spa, centro de fitness, terraço, restaurante, bar e piscina exterior aberta todo o ano. O acesso Wi-Fi gratuito está disponível em todo o resort.Experiência Gastronómica:O restaurante serve pequenos-almoços continentais, buffet, vegetarianos e vegan. O almoço e o jantar estão disponíveis com uma variedade de menus para satisfazer todas as necessidades dietéticas.Localização Privilegiada:Situado a 14 km do Aeroporto Internacional das Seychelles, o resort fica a 5 minutos a pé da Praia de Beau Vallon. As atrações próximas incluem a Torre do Relógio de Victoria (5 km) e os Jardins Botânicos Nacionais das Seychelles (7 km). Existem trilhos para caminhadas disponíveis nos arredores.","2026-03-13 02:37:51.370706+00","2026-03-13 02:37:51.370711+00"
"e9169f99-dea4-4452-89c4-5e117a1e38ee","642cd238-3adf-4a76-b06e-dcc535bc40b3","d4c6276e-faf0-42e2-b922-b80bf4bc475d","es","Beachfront Location: Hôtel Le Roy in Oistins offers direct beachfront access with stunning sea views. Guests can relax on the terrace or balcony and enjoy the lush garden.

Spa Facilities: The hotel features a year-round outdoor swimming pool and spa facilities. Free WiFi is available throughout the property.

Dining Experience: A family-friendly restaurant serves British, American, and Caribbean cuisines for lunch and dinner. Vegetarian options are available, complemented by a buffet breakfast.

Convenient Services: The hotel provides a paid airport shuttle service, concierge, housekeeping, room service, car hire, and a tour desk. Free on-site private parking is available.","2026-03-13 03:37:58.866812+00","2026-03-13 03:37:58.866815+00"
"f1835447-e109-46f7-938e-bd045b5c695e","85bf77d2-2f5c-45d9-8c9c-763306a05139","c30aa9f6-dee7-437b-8a18-0e1da132c619","es","Alojamientos Cómodos:The Island Garden Hotel en Nasáu ofrece habitaciones familiares con aire acondicionado, baños privados y equipamiento moderno que incluye frigoríficos, escritorios, microondas, duchas, televisores y armarios.Instalaciones de Ocio:Los huéspedes pueden disfrutar de una piscina al aire libre durante todo el año y WiFi gratuito en toda la propiedad. Además, hay balcones y patios con vistas al jardín, que ofrecen espacios relajantes.Ubicación Conveniente:Situado a 6 km del Aeropuerto Internacional Lynden Pindling, el hotel está a solo 4 minutos a pie de Cable Beach. El parque acuático Atlantis Aquaventure está a 13 km, ofreciendo entretenimiento para todas las edades.","2026-03-13 03:39:29.616975+00","2026-03-13 03:39:29.616979+00"
"44c17a65-514f-48da-9c79-69c0a2196eb6","e2b59d69-a895-47bd-a11e-f981719a7d28","d4c6276e-faf0-42e2-b922-b80bf4bc475d","en","Beachfront Location: Hôtel Le Roy in Oistins offers direct beachfront access with stunning sea views. Guests can relax on the terrace or balcony and enjoy the lush garden.

Spa Facilities: The hotel features a year-round outdoor swimming pool and spa facilities. Free WiFi is available throughout the property.

Dining Experience: A family-friendly restaurant serves British, American, and Caribbean cuisines for lunch and dinner. Vegetarian options are available, complemented by a buffet breakfast.

Convenient Services: The hotel provides a paid airport shuttle service, concierge, housekeeping, room service, car hire, and a tour desk. Free on-site private parking is available.","2026-03-13 03:42:43.756017+00","2026-03-13 03:42:43.75602+00"
