"id","id_photo","hotel_id","orientation","photo_width","photo_height","alt","created_at_photo","created_at"
"801f261e-1441-48f3-8758-4c2420bced15","706982726","a9b7575b-67e8-4080-aeda-4d21ec71a09f","landscape",2048,1535,"a villa on the water in front of a beach at Niyama Private Islands Maldives in Dhaalu Atoll","2025-07-02 10:32:24+01","2026-03-20 22:36:09.36685+00"
"5743c04f-76c4-4b12-8bd4-2d6e4d5e5b5c","352777367","a9b7575b-67e8-4080-aeda-4d21ec71a09f","landscape",2048,1646,"an aerial view of a resort in the ocean at Niyama Private Islands Maldives in Dhaalu Atoll","2022-04-18 07:19:54+01","2026-03-20 22:36:09.369232+00"
"030a2453-35e0-4e6c-a037-07c2216e06c2","517584383","a9b7575b-67e8-4080-aeda-4d21ec71a09f","landscape",4098,2730,"an island in the ocean with a resort on it at Niyama Private Islands Maldives in Dhaalu Atoll","2024-01-04 08:05:46+00","2026-03-20 22:36:09.370388+00"
"58d82202-6b54-40be-a48b-8fef1212acda","421049068","a9b7575b-67e8-4080-aeda-4d21ec71a09f","landscape",1280,900,"an island with a tent in the water at Niyama Private Islands Maldives in Dhaalu Atoll","2023-01-16 03:43:29+00","2026-03-20 22:36:09.371454+00"
"fd7142d7-ea2d-4435-9edd-9ff014f7d240","331986349","a9b7575b-67e8-4080-aeda-4d21ec71a09f","portrait",2761,3451,"an aerial view of an island in the ocean at Niyama Private Islands Maldives in Dhaalu Atoll","2021-12-17 14:33:00+00","2026-03-20 22:36:09.37253+00"
"d0fc639f-deac-4b6b-8806-e6983874cd9c","421049077","a9b7575b-67e8-4080-aeda-4d21ec71a09f","landscape",1280,900,"an overhead view of a tennis court on the beach at Niyama Private Islands Maldives in Dhaalu Atoll","2023-01-16 03:43:30+00","2026-03-20 22:36:09.373952+00"
"a8d93e48-f137-4217-8619-abcdf48fb220","421049070","a9b7575b-67e8-4080-aeda-4d21ec71a09f","landscape",1280,900,"a red umbrella on a small island in the ocean at Niyama Private Islands Maldives in Dhaalu Atoll","2023-01-16 03:43:30+00","2026-03-20 22:36:09.375108+00"
"6a937754-25e0-4b53-be58-f144d91f7ec5","520429354","a9b7575b-67e8-4080-aeda-4d21ec71a09f","landscape",5272,3948,"a person standing on a tree house in a forest at Niyama Private Islands Maldives in Dhaalu Atoll","2024-01-15 09:45:38+00","2026-03-20 22:36:09.376559+00"
"ff242612-feb7-4f94-b13b-2f1ab41d7e1a","421049073","a9b7575b-67e8-4080-aeda-4d21ec71a09f","landscape",1280,900,"a woman sitting on a table in front of a waterfall at Niyama Private Islands Maldives in Dhaalu Atoll","2023-01-16 03:43:30+00","2026-03-20 22:36:09.378027+00"
"436ede99-59c3-4f98-85c2-db1e73b09664","421049074","a9b7575b-67e8-4080-aeda-4d21ec71a09f","landscape",1280,900,"a kitchen with blue cabinets and a table and chairs at Niyama Private Islands Maldives in Dhaalu Atoll","2023-01-16 03:43:30+00","2026-03-20 22:36:09.379028+00"
"4b1a6070-9ec7-47bd-baa4-16d7fcf74d78","421049071","a9b7575b-67e8-4080-aeda-4d21ec71a09f","landscape",1280,900,"a fitness room with exercise equipment on a beach at Niyama Private Islands Maldives in Dhaalu Atoll","2023-01-16 03:43:30+00","2026-03-20 22:36:09.37999+00"
"332717f0-8131-487e-bb3d-35586bb8a426","421049075","a9b7575b-67e8-4080-aeda-4d21ec71a09f","landscape",1280,900,"a patio with chairs and tables on a beach at Niyama Private Islands Maldives in Dhaalu Atoll","2023-01-16 03:43:30+00","2026-03-20 22:36:09.380876+00"
"6a5f4e72-3414-4e15-9bfc-09671b33cb8a","421049072","a9b7575b-67e8-4080-aeda-4d21ec71a09f","landscape",1280,900,"an aerial view of a beach at night with christmas lights at Niyama Private Islands Maldives in Dhaalu Atoll","2023-01-16 03:43:30+00","2026-03-20 22:36:09.381754+00"
